carat,cut,color,clarity,depth,table,price,x,y,z
0.24,Ideal,G,VVS1,62.1,56.0,559,3.97,4.0,2.47
1.21,Very Good,F,VS2,62.9,54.0,8403,6.78,6.82,4.28
0.5,Fair,E,SI1,61.7,68.0,1238,5.09,5.03,3.12
0.5,Ideal,D,SI2,62.8,56.0,1243,5.06,5.03,3.17
1.55,Ideal,E,SI2,62.3,55.0,6901,7.44,7.37,4.61
1.0,Fair,E,SI2,55.4,62.0,3011,6.63,6.59,3.66
0.51,Ideal,H,VVS1,62.2,56.0,1766,5.12,5.14,3.19
1.52,Premium,G,VS2,62.6,55.0,12958,7.39,7.28,4.59
0.57,Ideal,D,VS2,61.8,56.0,2103,5.34,5.31,3.29
1.14,Ideal,H,SI1,60.3,57.0,4789,6.79,6.85,4.11
1.5,Ideal,E,VS2,63.4,54.0,14618,7.22,7.25,4.59
0.32,Ideal,E,VS2,61.9,56.0,702,4.35,4.4,2.71
0.31,Ideal,E,IF,62.2,53.0,958,4.35,4.4,2.72
0.7,Very Good,F,SI1,62.9,59.0,2401,5.62,5.67,3.55
0.61,Very Good,J,SI1,60.8,58.0,1149,5.46,5.49,3.33
0.41,Ideal,G,VS1,60.8,56.0,961,4.82,4.79,2.92
0.98,Fair,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
0.33,Ideal,F,VS2,61.2,54.0,666,4.47,4.49,2.74
0.77,Good,D,SI2,63.8,58.0,2665,5.81,5.78,3.7
1.57,Premium,D,SI2,62.9,61.0,9875,7.41,7.37,4.65
0.32,Premium,G,IF,61.8,55.0,1020,4.45,4.39,2.73
0.7,Ideal,E,VS2,61.9,57.0,2553,5.69,5.74,3.54
0.31,Premium,F,VS2,61.8,59.0,625,4.31,4.33,2.67
1.2,Ideal,F,VS1,62.1,58.0,10367,6.78,6.84,4.23
0.91,Ideal,H,SI2,60.6,57.0,3854,6.3,6.26,3.81
0.5,Good,F,VS1,58.0,61.0,1415,5.18,5.23,3.02
2.09,Very Good,F,SI2,62.5,60.0,16210,8.14,8.06,5.06
0.5,Good,G,SI1,63.6,55.0,1197,5.03,5.06,3.21
1.51,Ideal,I,SI1,61.1,59.0,8342,7.4,7.37,4.51
0.31,Ideal,G,SI1,61.8,55.0,493,4.38,4.42,2.72
1.01,Ideal,F,SI2,62.5,55.0,4416,6.39,6.4,4.0
0.54,Ideal,G,VS2,61.5,55.0,1422,5.24,5.27,3.23
1.21,Ideal,F,IF,62.8,56.0,15497,6.75,6.84,4.27
0.46,Ideal,G,VVS1,61.6,55.0,1800,5.0,5.03,3.09
0.52,Premium,G,VVS1,59.2,58.0,2153,5.31,5.28,3.14
0.23,Very Good,F,VVS2,62.0,58.0,530,3.89,3.92,2.42
0.73,Ideal,H,SI2,62.3,56.0,2278,5.78,5.72,3.58
2.04,Very Good,I,SI1,63.1,58.0,15412,8.06,7.99,5.06
0.55,Ideal,E,VS1,61.7,55.0,1975,5.27,5.29,3.26
0.72,Very Good,I,VVS2,62.7,54.0,2386,5.74,5.8,3.62
2.11,Premium,G,SI2,62.2,58.0,13598,8.19,8.23,5.11
0.4,Very Good,H,VVS1,62.9,56.0,954,4.69,4.72,2.96
0.4,Very Good,E,SI2,63.2,57.0,855,4.68,4.66,2.95
0.41,Ideal,D,SI1,61.6,55.0,791,4.78,4.8,2.95
0.7,Ideal,E,VS1,62.7,57.0,3016,5.65,5.7,3.56
1.55,Very Good,F,SI1,63.1,56.0,11957,7.4,7.38,4.66
1.51,Premium,G,VS2,62.5,59.0,12872,7.34,7.28,4.57
2.06,Ideal,I,SI2,61.4,57.0,10728,8.22,8.18,5.03
0.3,Ideal,F,IF,60.9,56.0,892,4.32,4.35,2.64
1.35,Very Good,H,VS2,62.3,57.0,7549,7.06,7.12,4.42
0.4,Good,I,VS1,63.8,55.0,945,4.69,4.65,2.98
1.83,Very Good,F,SI1,63.2,56.0,11782,7.78,7.73,4.9
0.78,Ideal,D,SI2,61.4,57.0,3454,5.91,5.94,3.64
1.01,Very Good,G,VS1,58.8,58.0,6777,6.52,6.61,3.86
0.9,Very Good,H,VVS2,61.8,60.0,4617,6.11,6.15,3.79
1.23,Ideal,J,VS2,61.2,57.0,6015,6.93,6.88,4.23
0.9,Premium,G,VS2,62.0,60.0,4137,6.19,6.14,3.82
2.32,Premium,I,SI1,61.2,58.0,18026,8.57,8.52,5.23
0.91,Good,F,SI1,63.7,58.0,3924,6.09,6.02,3.86
0.51,Ideal,D,VS1,62.4,57.0,1779,5.09,5.13,3.19
0.4,Ideal,E,VVS1,61.3,56.0,1778,4.75,4.78,2.92
0.52,Good,F,SI1,63.8,56.0,1244,5.07,5.12,3.25
0.75,Premium,J,SI2,62.9,56.0,1588,5.76,5.72,3.61
1.06,Premium,I,SI2,61.5,57.0,2968,6.57,6.49,4.02
0.33,Ideal,G,VVS1,61.5,56.0,868,4.45,4.46,2.74
0.38,Ideal,E,SI1,61.0,56.0,694,4.68,4.69,2.86
0.68,Premium,F,VVS2,61.7,57.0,2854,5.67,5.64,3.49
0.43,Premium,D,VVS1,59.6,58.0,1659,4.94,4.89,2.93
1.25,Premium,F,VS2,60.8,58.0,9702,6.98,6.93,4.23
0.64,Ideal,F,VVS2,60.9,56.0,3217,5.57,5.59,3.4
1.05,Ideal,J,SI2,61.3,56.0,4364,6.56,6.59,4.03
0.33,Premium,I,VS1,59.5,60.0,521,4.5,4.54,2.69
1.07,Premium,G,SI2,62.1,59.0,4584,6.54,6.48,4.04
1.63,Premium,E,VS2,61.8,58.0,13678,7.57,7.49,4.65
0.79,Very Good,G,SI1,60.9,63.0,2394,5.89,5.84,3.57
0.32,Ideal,G,VS1,62.9,57.0,828,4.4,4.37,2.76
0.56,Ideal,D,VS2,61.4,57.0,1963,5.32,5.36,3.28
0.33,Ideal,D,VS2,61.8,54.0,681,4.43,4.47,2.75
0.54,Ideal,H,VVS2,61.8,56.0,1696,5.25,5.27,3.25
1.56,Ideal,F,SI2,61.2,55.0,10571,7.47,7.57,4.6
0.33,Ideal,F,VVS1,61.9,55.0,939,4.46,4.47,2.76
0.73,Very Good,E,SI1,58.6,57.0,2441,5.91,6.0,3.49
0.32,Ideal,D,VVS1,62.6,57.0,917,4.34,4.41,2.74
0.5,Good,D,VS1,64.3,54.0,1795,5.02,5.06,3.24
1.14,Premium,J,SI2,60.4,59.0,3861,6.8,6.74,4.09
0.41,Premium,E,VS1,59.9,58.0,1079,4.83,4.88,2.91
0.32,Good,H,SI1,63.7,55.0,461,4.3,4.33,2.75
0.42,Very Good,G,SI1,62.0,54.0,751,4.8,4.82,2.98
2.23,Premium,J,SI2,60.5,61.0,12770,8.47,8.4,5.1
0.71,Premium,F,VS2,61.0,59.0,2571,5.72,5.69,3.48
1.09,Ideal,E,SI1,61.8,55.0,6849,6.65,6.58,4.09
1.31,Ideal,H,VS1,61.5,55.0,8429,7.02,7.05,4.33
